id,location_id,organization_id,service_id,name,title,email,department
141,,138388,,Sue Whalen                         ,President                          ,,
142,,137991,,Craig Wylie                        ,Executive Director                 ,,
143,,139576,,"Elizabeth Thompson, Ph.D.          ",Director                           ,,
144,,139126,,Rev. Eric W. King                  ,Minister                           ,,
145,,139825,,Karen Mercer                       ,Executive Director                 ,,
146,,137641,,Captain Tony Bell                  ,Director                           ,,
147,,137704,,"Edgar K. Wiggins, MHS              ",Executive Director                 ,,
148,,137840,,Yvette Clark                       ,Coordinator                        ,,
149,,138259,,Patricia Cronin                    ,Executive Director                 ,,
150,,138609,,"John Grason Turnbull, II           ",Circuit Administrative Judge       ,,
151,,139331,,Janis Parks                        ,Executive Director                 ,,
152,,139274,,Stephen Muirhead                   ,General Manager                    ,,
153,,138936,,"Sid Ford, MSW, LCSW-C              ",Executive Director                 ,,
154,,137790,,No one at this time 6/27/07.       ,,,
155,,139809,,Andrea Capuyan                     ,Executive Director                 ,,
156,,139366,,C.W. Harris                        ,Elder                              ,,
157,,137682,,Deitra Davenport                   ,Executive Director                 ,,
158,,138961,,Genevieve Gwiazda                  ,Development Associate              ,,
159,,138218,,Sharon Miller                      ,Coordinator                        ,,
160,,139059,,Victoria Valentine Sessler         ,Owner                              ,,
161,,137694,,Arnold Eppel                       ,Director                           ,,
162,,138131,,Bernie Kramer                      ,Contact Person                     ,,
163,,139370,,Dr. Carol Werlinich                ,Director                           ,,
164,,139720,,Leon Indursky                      ,CEO                                ,,
165,,137856,,John P. Stewart                    ,Executive Director                 ,,
166,,137913,,Bruce Jennings                     ,Deputy Director                    ,,
167,,139777,,Jeanne Velez                       ,Director                           ,,
168,,139327,,Karen Dill                         ,Clinical Director                  ,,
169,,138023,,Mary Chance                        ,Director                           ,,
170,,138189,,Sharon Krieger                     ,Program Director                   ,,
171,,138301,,Sendy Rommel                       ,Executive Director                 ,,
172,,138751,,Cass Naugle                        ,Executive Director                 ,,
173,,138614,,Edward Orzechowski                 ,Executive Director                 ,,
174,,138182,,Karen Sitnick                      ,Director                           ,,
175,,137627,,Gail Roddie-Hamlin                 ,CEO                                ,,
176,,139269,,Peggy Mainor                       ,Executive Director                 ,,
177,,139639,,Shirley Foulks/Phil Gray           ,President/Counselor                ,,
178,,139117,,Rev. Roger Johnson                 ,Director                           ,,
179,,139814,,Barbara L. McCready                ,Community Assist. Administrator    ,,
180,,138706,,Bill Robertson                     ,President/CEO                      ,,
181,,138356,,Stephen Rosenstein                 ,Chairman                           ,,
182,,139052,,Ray Ambrose                        ,Transit Administrator              ,,
183,,139402,,"Eileen Dewey, LCSW-C               ",Director                           ,,
184,,138090,,Barbara Hayes                      ,Coordinator                        ,,
185,,138340,,Wanda Newton                       ,Director                           ,,
186,,138710,,Elizabeth S. Glenn                 ,Chief                              ,,
187,,139414,,Gloria Johnson                     , Executive Director                ,,
188,,139044,,Ron Ruddle                         ,Executive Vice President           ,,
189,,139697,,Lesley B. Shear                    ,Executive Director                 ,,
190,,137689,,"Frederick Bealefeld, III           ",Commissioner                       ,,
191,,138439,,LaTavia Little                     ,Director                           ,,
192,,137666,,Tim Quinn                          ,Executive Director                 ,,
193,,139382,,Lorrie Schoettler                  ,Executive Director                 ,,
194,,138747,,Nancy Jaffe                        ,Administrator                      ,,
195,,139443,,Vernetta Butler                    ,Coordinator                        ,,
196,,139290,,Herman Jones                       ,President                          ,,
197,,138194,,Emma Seehely                       ,Director                           ,,
198,,139068,,Edna Evans                         ,CEO                                ,,
199,,137975,,Patrick Bogan                      ,President                          ,,
200,,139438,,Karen H. Rothenberg                ,Dean                               ,,
201,,139087,,Troy Burton                        ,Executive Director                 ,,
202,,138946,,Dr. Mary J. Jenkins                ,Executive Director                 ,,
203,,139204,,Diane Triplett                     ,Executive Director                 ,,
204,,138550,,Kathleen Knolhoff                  ,Director                           ,,
205,,138803,,William Knott                      ,Owner/President                    ,,
206,,139711,,Barry F. Williams                  ,Director                           ,,
207,,139341,,Mma-Ette Francis                   ,Director of Human Resources        ,,
208,,139480,,Gwenn Herman                       ,Director                           ,,
209,,137867,,Mark Coffman                       ,Coordinator                        ,,
210,,138012,,Cynthia Cadden                     ,Project Manager                    ,,
211,,139316,,Susan Roth                         ,Executive Director                 ,,
212,,138854,,Karen M. Sendelback                ,Executive Director                 ,,
213,,139746,,Rhonda S. White                    ,Executive Director                 ,,
214,,138268,,Calvin Pettigrew                   ,Pantry Coordinator                 ,,
215,,137871,,Nina Hick                          ,Manager                            ,,
216,,139245,,Jeff Richardson                    , Executive Director                ,,
217,,138004,,Carol Clews                        ,Director                           ,,
218,,138454,,Eugene R. Johnson                  ,Executive Director                 ,,
219,,138395,,Angela McCusson                    ,Coordinator                        ,,
220,,138403,,Doris Anderson                     ,Secretary                          ,,
221,,139212,,John Read                          ,CEO                                ,,
222,,139707,,"George J. Dover, M.D.              ",Pediatrician-in-Chief              ,,
223,,138116,,"Wilhelm H. Joseph, Jr., Esq        ",Executive Director                 ,,
224,,138531,,James Fite                         ,National Secretary                 ,,
225,,138024,,Joseph E. Pfaff                    ,Director                           ,,
226,,137851,,Brenda Greene                      ,Secretary                          ,,
227,,138618,,Richard Buchanan                   ,Executive Director                 ,,
228,,137914,,Dottie Hall                        ,Coordinator                        ,,
229,,137693,,Tina Glab                          ,Utilities Crew Chief               ,,
230,,137739,,Ethan Draddy                       ,CEO & Scout Executive              ,,
231,,138136,,Esther Reaves                      ,Executive Director                 ,,
232,,138423,,Reverend Strahan                   ,Pastor                             ,,
233,,138589,,Albert K. Roach                    ,Executive Director                 ,,
234,,139232,,Dick Cheney                        ,Vice President                     ,,
235,,139398,,Richard G. Muth                    ,Director                           ,,
236,,138570,,Angie L. Reese-Hawkins             ,President                          ,,
237,,137685,,Portia Harris                      ,Acting Director                    ,,
238,,139731,,Shavaugn Jackson                   ,Executive Director                 ,,
239,,139361,,Tom Yeager                         ,Executive Vice-President           ,,
240,,137810,,Tim Hanavan                        ,Executive Director                 ,,
241,,139048,,Stuart Katzenberg                  ,Head Organizer                     ,,
242,,137955,,Paula Setters                      ,Executive Director                 ,,
243,,139336,,Charlene Bourne                    ,Director                           ,,
244,,138527,,Sylvia Bragg                       ,Director                           ,,
245,,138177,,Jessica Vollmer                    ,Office Manager                     ,,
246,,138931,,Sister Mamoriama                   ,Contact Person                     ,,
247,,139658,,Hedy Nuriel                        ,Executive Director                 ,,
248,,137703,,Katie Brown                        ,Acting Director                    ,,
249,,137979,,Mary Ellen Vanni                   ,Executive Director                 ,,
250,,139064,,David Chernow                      ,President/CEO                      ,,
251,,138360,,Rosalyn Branson                    ,Executive Director                 ,,
252,,139822,,Rob Goodell                        ,Executive Director                 ,,
253,,139571,,"Robert J. Beall, PhD               ",President/ CEO                     ,,
254,,137996,,Lillian Donnard                    ,Executive Director                 ,,
255,,138788,,Don Bard                           ,President                          ,,
256,,139033,,Charles Brooks                     ,Owner/Director                     ,,
257,,139463,,Michael Fowowe                     ,Director/President                 ,,
258,,139176,,Bill Blacquire                     ,Executive Director                 ,,
259,,138458,,Mary Newman                        ,Director                           ,,
260,,137742,,Dr. Michael Stern                  ,President/ CEO                     ,,
261,,137892,,"Henry Posko, Jr.                   ",CEO                                ,,
262,,139025,,Roger Lee                          ,Contact Person                     ,,
263,,138264,,Judith Venable                     , Clinical Coordinator              ,,
264,,138321,,Theola Pigatt                      ,Director                           ,,
265,,138399,,Father Tom Composto                ,Executive Director                 ,,
266,,138726,,Cecilia Griffin-Golden             ,President                          ,,
267,,137597,,Cynthia Henderson                  ,Program Director                   ,,
268,,138232,,Michael Dugan                      ,CEO                                ,,
269,,139073,,Louise Phipps Senft                ,President                          ,,
270,,139589,,Helena Oduroe                      ,Director                           ,,
271,,139136,,Howard Wicker                      ,Program Manager                    ,,
272,,137651,,Yevola S. Peters                   ,CEO                                ,,
273,,137714,,Jolyn Rademacher                   ,Executive Director                 ,,
274,,137939,,Lynnette Irlmeier                  ,Executive Director                 ,,
275,,138265,,Cheneda Samuels                    ,Administrator                      ,,
276,,138770,,J. Shep Jeffrey's                  ,President                          ,,
277,,139161,,Dr. David J. Ramsey                ,President                          ,,
278,,137606,,Fred Chanteau                      ,CEO                                ,,
279,,137743,,Susie Hatch                        ,Director                           ,,
280,,138623,,B. Harriette Taylor                ,Interim Director                   ,,
281,,138789,,Colleen Maguire                    ,Director of Patient Services       ,,
282,,138336,,Gilbert Thompson                   ,President                          ,,
283,,139823,,Reverend Dr. Ann F. Lightner-Fuller,Pastor                             ,,
284,,137997,,Mary Speight                       ,Director                           ,,
285,,139570,,Katherine T. Sanzone               ,Executive Director                 ,,
286,,138048,,Antonia Fasanelli                  ,Executive Director                 ,,
287,,137702,,Scott Shellenberger                ,State's Attorney                   ,,
288,,139767,,Tanya English                      ,Director                           ,,
289,,138526,,Gladys Saunders                    ,Coordinator                        ,,
290,,138176,,Douglas Nazarian                   ,Chairman                           ,,
291,,137796,,John Monck                         ,Executive Director                 ,,
292,,139272,,Leon Purnell                       ,Executive Director                 ,,
293,,139788,,Alexi Kousouris                    ,Camp Director                      ,,
294,,137811,,Jan Moylan Wagner                  ,Executive Director                 ,,
295,,137954,,Charlotte Mason                    ,Director                           ,,
296,,139419,,Polly Riddims                      , Managing Partner                  ,,
297,,138121,,Linda T. Lombardo                  ,Executive Director                 ,,
298,,137684,,Avery Aisen Stark                  ,Director                           ,,
299,,138571,,Dawn Fisk Thomsen                  , Interim CEO                       ,,
300,,138822,,Donna Lund                         ,Director                           ,,
301,,139360,,Lela Blue-Campbell/Sonnie Price    ,Program Directors                  ,,
302,,139675,,Deborah Hayghe                     , Director                          ,,
303,,138064,,Victor Broccolino                  ,President & CEO                    ,,
304,,138434,,Joyce McCauley                     ,Executive Director                 ,,
305,,137807,,Rev. Cynthia Belt                  ,Pastor                             ,,
306,,139726,,Twanda Prioleau                    ,Director                           ,,
307,,138834,,"Freeman A. Hrabowski, III,         ",President                          ,,
308,,138567,,Brian Held                         , Interim Chief Executive Officer   ,,
309,,137692,,Doris Barnes                       , Director                          ,,
310,,138137,,"Jarvia L. Fishell,                 ",CEO                                ,,
311,,138422,,Thelma Gentry                      ,Outreach Director                  ,,
312,,138588,,William K. Hathaway                ,Chief Executive Officer            ,,
313,,139008,,Johnette Richardson                ,Director                           ,,
314,,139458,,June Smith                         ,Director                           ,,
315,,139634,,Trudy                              ,Bien                               ,,
316,,139264,,"Rev, Brenda McBride                ",Executive Director                 ,,
317,,138025,,Jerry Reyerson                     ,Director                           ,,
318,,138475,,Stephen D. Umberger                ,District Director                  ,,
319,,138402,,"Reverend Robert Braunreuther, S.J. ",Director                           ,,
320,,138951,,Gustavo Torres                     ,Director                           ,,
321,,138117,,Dr. William R. Brody               ,President                          ,,
322,,138394,,Sister Mary Bader                  ,CEO                                ,,
323,,137827,,Dr. Andrew Ross                    ,President                          ,,
324,,138005,,Laurence Merlis                    ,President                          ,,
325,,138140,,Staff Sgt. Singleton               ,Coordinator                        ,,
326,,138843,,Debbie Bennett                     ,Chairperson                        ,,
327,,139301,,Alphonso Johnson                   ,Secretary                          ,,
328,,138639,,Giulia Pearman                     ,President                          ,,
329,,138269,,Patricia Cassatt                   ,CEO                                ,,
330,,139028,,Jamie Lee                          ,Executive Director                 ,,
331,,137935,,Stanley A. Levi                    , Executive Director                ,,
332,,137870,,Hazel Guin                         ,Director                           ,,
333,,139747,,Rodney Carroll                     ,President                          ,,
334,,138044,,Michelle Hadaway                   ,Executive Director                 ,,
335,,138551,,"Stanley Weinstein, Ph.D            ",President/CEO                      ,,
336,,139710,,Evon Pittman                       ,Homeless Coordinator               ,,
337,,138382,,Michael Seipp                      ,Executive Director                 ,,
338,,137831,,Cindy Berardino                    ,Manager                            ,,
339,,139086,,Thomas E. Wilcox                   ,President                          ,,
340,,137630,,Sue Manning                        ,VP of Corporate Relations          ,,
341,,138195,,Vernon F. Mitchell                 ,National Service Officer           ,,
342,,138603,,Peter Franchot                     ,Comptroller                        ,,
343,,139012,,Bonnie Bessor                      ,Executive Director                 ,,
344,,139442,,Ms. Dale Meyer                     ,President/ CEO                     ,,
345,,139696,,"Dean Kirschner, Ph.D., LCSW-C      ",Executive Director                 ,,
346,,138087,,Louis M. Buddy Sapolsky            ,Executive Director                 ,,
347,,137688,,Lisa Williams                      ,Executive Director                 ,,
348,,138592,,William J. McLennan                ,Executive Director                 ,,
349,,139383,,Ruth Lewis                         ,Director                           ,,
350,,139100,,Jo Blanco                          ,Pastor                             ,,
351,,137958,,Sister Jodene Wydeven              ,Coordinator                        ,,
352,,139045,,Ken Gelula                         ,Director                           ,,
353,,137734,,Frederick J. Puente                ,President                          ,,
354,,138091,,Gregory F. Schaffer                ,President                          ,,
355,,138584,,"C. John Sullivan, Jr.              ",Director                           ,,
356,,139116,,Joyce Anderson                     ,Coordinator                        ,,
357,,139815,,Eartha L. Harris                   ,Director                           ,,
358,,138642,,Cheryl Bost                        ,President                          ,,
359,,138212,,Ruth Fitts                         ,President                          ,,
360,,139287,,Dr. Barbara Hughes                 ,Executive Director                 ,,
361,,138479,,Larry Walton                       ,CPO                                ,,
362,,138029,,Audra Caplan                       ,Director                           ,,
363,,137626,,William Novelli                    ,Executive Director                 ,,
364,,139268,,Dr. Howard Eisenberg               ,Director                           ,,
365,,138300,,Mary Slicher                       ,Executive Director                 ,,
366,,138750,,Raquel McGuire                     ,Executive Director                 ,,
367,,139141,,Mark Tough                         ,Executive Director                 ,,
368,,139454,,Dr. Fred Strieder                  ,Director                           ,,
369,,137919,,Janice Lockwood                    ,Executive Director                 ,,
370,,138245,,"J. Joseph Curran, Jr.              ",State Attorney General             ,,
371,,139355,,Russ Hedge                         ,Executive Director                 ,,
372,,138401,,Father Damien Nalepa               ,Pastor                             ,,
373,,139139,,Josephine Utley                    ,Director                           ,,
374,,137824,,Steven Wynn                        ,Administrator                      ,,
375,,138682,,"R. Karl Aumann, Esq.               ",Chairman                           ,,
376,,138728,,Carole Berman                      , Director                          ,,
377,,138397,,Lucy Di Pinto                      ,Director                           ,,
378,,137598,,Patricia Chalfant                  ,Director                           ,,
379,,139302,,Jim Stigliano                      ,President                          ,,
380,,138143,,Peter Berns                        ,Executive Director                 ,,
381,,137609,,Eula Gray                          ,Chair of Food Pantry               ,,
382,,138006,,Todd Elliott                       ,Literacy Director                  ,,
383,,139494,,Christian  Jensen                  ,Director                           ,,
384,,137936,,Pastor Montgomery & Barbara Taylor ,Coordinator                        ,,
385,,139181,,Maritza Gonzales                   ,Program Manager                    ,,
386,,139744,,Russell Wattenburg                 ,Executive Director                 ,,
387,,138856,,Paul Taylor                        ,Director                           ,,
388,,138010,,Scott Birdsong                     ,Executive Director                 ,,
389,,139178,,Ed Tripplett                       ,Recorder                           ,,
390,,138339,,Captain Chuck Whiten               ,Commanding Officer                 ,,
391,,138786,,Jean Williams                      ,President                          ,,
392,,137920,,Ron Murray                         ,Director                           ,,
393,,139343,,Clark Hudak                        ,Director                           ,,
394,,137648,,Kate Rollason                      ,Executive Director                 ,,
395,,138047,,Father John Michalski              ,Coordinator                        ,,
396,,137832,,Barbara Jones Brown                ,Coordinator                        ,,
397,,137998,,Marge Thomas                       ,President/CEO                      ,,
398,,138381,,Paula B. McLellan                  ,CEO                                ,,
399,,137633,,Frank Miller                       ,Executive Director                 ,,
400,,139787,,"Edward C. Adams, Jr.               ",Director                           ,,
401,,138895,,Ruth Robertson                     ,Director                           ,,
402,,139768,,"Gary C. Norman, Esq.               ",CEO and President                  ,,
403,,138179,,Winifred C. Borden                 ,Executive Director                 ,,
404,,139011,,Catherine Edwards                  ,Coordinator                        ,,
405,,139441,,"Karen Byrd, LCPC                   ",CEO                                ,,
406,,138250,,Tony Wright                        ,Executive Director                 ,,
407,,138745,,Donna Warner                       ,Chapter Coordinator                ,,
408,,137849,,Hattie & Robert Cofiell            ,Volunteer Coordinators             ,,
409,,137664,,Martin L. Doordan                  ,President and CEO                  ,,
410,,138591,,Sheila Dixon                       ,Mayor                              ,,
411,,139416,,Kirsten Lodal                      ,CEO/Co-Founder                     ,,
412,,139046,,Florine V. Robinson                ,Executive Director                 ,,
413,,138712,,R. Kevin Brooks                    ,Executive Director                 ,,
414,,139379,,"Dr. Basha P. Jordan, Jr.           ",Founder/CEO                        ,,
415,,139683,,Darren L. Purnell                  ,Administrator                      ,,
416,,138092,,Ronald Peterson                    ,CEO                                ,,
417,,138211,,Paul Wells                         ,Administrator                      ,,
418,,138704,,Andrew C. Von Eschenbach           ,Commissioner                       ,,
419,,139284,,Barry Mankowitz                    ,President                          ,,
420,,138303,,Chuck Coble                        ,Executive Director                 ,,
421,,137828,,Andre Cooper                       ,CEO                                ,,
422,,139565,,Vellner McNair                     , Owner/Manager                     ,,
423,,137594,,Leslie Leitch                      ,Executive Director                 ,,
424,,138118,,Ronald Rothstein                   ,President/CEO                      ,,
425,,137717,,Cynthia Brooks                     ,CEO                                ,,
426,,138548,,Joann Levy                         ,Executive Director                 ,,
427,,137652,,"Carol Baker, PhD                   ",Director                           ,,
428,,138323,,Dr. Sherill Cheeks                 ,Medical Director                   ,,
429,,139477,,Patriciaa Felton                   ,Director                           ,,
430,,138909,,Debbie Jo Adams-Noroski            ,CEO                                ,,
431,,138765,,Greg Lannon                        ,Executive Director                 ,,
432,,138335,,Patricia Dieter                    ,Executive Director                 ,,
433,,139174,,Israel Cason                       ,President                          ,,
434,,138620,,Nelson A. Ortega                   ,Executive Director                 ,,
435,,138270,,Dr. Virginia Ferguson              ,Coordinator                        ,,
436,,139748,,Shirl Byron                        ,Executive Director                 ,,
437,,138159,,Deborah Metzger                    ,Program Manager                    ,,
438,,137994,,Traci A. Barnett                   ,Executive Director/CEO             ,,
439,,139089,,Edward Sabatino                    ,Executive Director                 ,,
440,,139123,,Robin Coley                        ,Program Director                   ,,
441,,138362,,Jack VandenHengel                  ,Executive Director                 ,,
442,,138677,,"Edwin K. Zechman, Jr.              ",President & CEO                    ,,
443,,137701,,Dr. Joe Hairston                   ,Superintendent                     ,,
444,,139271,,Sister Mary A. Harnett             ,Director                           ,,
445,,139621,,Maureen Grove                      ,Executive Director                 ,,
446,,138933,,CaSandra Winchester                ,Executive Director                 ,,
447,,137795,,Willa Bickham                      ,Co-Founder                         ,,
448,,138460,,Charles T. Sembly                  ,Pastor                             ,,
449,,138525,,Scott Rose                         ,President & CEO                    ,,
450,,139764,,Wanjiru Kamau                      ,Managing Director                  ,,
451,,138437,,Bruce England                      ,Director                           ,,
452,,139733,,Mereida Goodman                    ,Executive Director                 ,,
453,,138821,,Kate Roff                          ,Program Director                   ,,
454,,137687,,Ross Ford                          ,Executive Director                 ,,
455,,137941,,Rob Claxton                        , President/CEO                     ,,
456,,139119,,Carol Reckling                     ,Executive Director                 ,,
457,,139230,,Terry Fram                         ,Founder/Director                   ,,
458,,138421,,Lori Goines                        ,Coordinator                        ,,
459,,137691,,Patricia C. Jessamy                ,State's Attorney                   ,,
460,,137916,,Lisa Reeves                        ,President/CEO                      ,,
461,,137853,,Anthony Cancelosi                  ,President CEO                      ,,
462,,137783,,Larry L. Leitch                    ,Health Officer                     ,,
463,,139772,,Dr. Samson Omotosho                ,Director                           ,,
464,,138027,,Dr. Andrew Bernstein               ,Health Officer                     ,,
465,,137782,,John M. Sernulka                   ,CEO                                ,,
466,,139266,,Karl Weber                         ,CEO                                ,,
467,,138861,,Joan Ananiew                       ,President                          ,,
468,,139289,,Lynette Harris                     ,Principal                          ,,
469,,139323,,Jeanette Kendell                   ,President                          ,,
